U	v	Z1	Z2	T	P	vf	x1	x2	y1	y2
25049.9	0.00247028	0.9651397724218261	0.034860227578173995	1182.7322113201913	4023727.3728360077	1	0.9005879384614136	0.09941206153858634	0.9651397724218261	0.034860227578173995
25049.9	0.00247028	0.9630545363778307	0.036945463622169265	1170.6112490653393	3982658.7054393017	1	0.8927008741478036	0.10729912585219639	0.9630545363778307	0.036945463622169265
25049.9	0.00247028	0.960952395024035	0.03904760497596513	1158.8254660421508	3942720.3351666355	1	0.8845674138020082	0.11543258619799167	0.960952395024035	0.03904760497596513
25049.9	0.00247028	0.958833141943028	0.041166858056972046	1147.4870960509445	3904295.3374014543	1	0.8762207863974953	0.12377921360250474	0.958833141943028	0.041166858056972046
25049.9	0.00247028	0.9566965673431326	0.04330343265686755	1136.3148085477662	3866424.7070706296	1	0.8676036514496368	0.13239634855036322	0.9566965673431326	0.04330343265686755
25049.9	0.00247028	0.9545424579891726	0.04545754201082755	1125.4275855660546	3829514.3707122756	1	0.8587486839912841	0.14125131600871582	0.9545424579891726	0.04545754201082755
25049.9	0.00247028	0.952370597131531	0.04762940286846885	1114.8103610845508	3793513.1853286456	1	0.8496594798538525	0.15034052014614757	0.952370597131531	0.04762940286846885
25049.9	0.00247028	0.9501807644334471	0.04981923556655289	1104.450374653284	3758377.844261564	1	0.8403404664449675	0.15965953355503257	0.9501807644334471	0.04981923556655289
25049.9	0.00247028	0.9479727358964982	0.052027264103501905	1094.3359142701909	3724068.592856338	1	0.830796647077034	0.16920335292296595	0.9479727358964982	0.052027264103501905
25049.9	0.00247028	0.9457462837842199	0.05425371621578004	1084.455792668095	3690547.4430531217	1	0.8210334606718809	0.1789665393281191	0.9457462837842199	0.05425371621578004
25049.9	0.002415693333333333	0.9651397724218261	0.034860227578173995	1182.7434025836403	4115697.345179711	1	0.9005899742278329	0.09941002577216711	0.9651397724218261	0.034860227578173995
25049.9	0.002415693333333333	0.9630545363778307	0.036945463622169265	1170.6234701071014	4073698.015976106	1	0.8927033029153987	0.10729669708460142	0.9630545363778307	0.036945463622169265
25049.9	0.002415693333333333	0.960952395024035	0.03904760497596513	1158.838091530826	4032852.403313022	1	0.8845701427379831	0.1154298572620169	0.960952395024035	0.03904760497596513
25049.9	0.002415693333333333	0.958833141943028	0.041166858056972046	1147.4998938429317	3993553.7332611945	1	0.876223781905224	0.12377621809477593	0.958833141943028	0.041166858056972046
25049.9	0.002415693333333333	0.9566965673431326	0.04330343265686755	1136.3287046738587	3954825.088224025	1	0.8676071656571321	0.13239283434286775	0.9566965673431326	0.04330343265686755
25049.9	0.002415693333333333	0.9545424579891726	0.04545754201082755	1125.441765182536	3917075.6216665483	1	0.8587525434246818	0.14124745657531818	0.9545424579891726	0.04545754201082755
25049.9	0.002415693333333333	0.952370597131531	0.04762940286846885	1114.8251479231064	3880256.997281689	1	0.8496637993817641	0.15033620061823594	0.952370597131531	0.04762940286846885
25049.9	0.002415693333333333	0.9501807644334471	0.04981923556655289	1104.4655582124724	3844323.057153979	1	0.8403452123584348	0.15965478764156513	0.9501807644334471	0.04981923556655289
25049.9	0.002415693333333333	0.9479727358964982	0.052027264103501905	1094.3519794993451	3809235.5686664437	1	0.830802007074609	0.16919799292539084	0.9479727358964982	0.052027264103501905
25049.9	0.002415693333333333	0.9457462837842199	0.05425371621578004	1084.472394558122	3774952.779916618	1	0.8210393563190209	0.17896064368097916	0.9457462837842199	0.05425371621578004
25049.9	0.0023611066666666667	0.9651397724218261	0.034860227578173995	1182.7554294575884	4211971.116674609	1	0.9005921625126506	0.09940783748734948	0.9651397724218261	0.034860227578173995
25049.9	0.0023611066666666667	0.9630545363778307	0.036945463622169265	1170.6353932697903	4168993.7608436854	1	0.8927056707198427	0.10729432928015736	0.9630545363778307	0.036945463622169265
25049.9	0.0023611066666666667	0.960952395024035	0.03904760497596513	1158.9838847673584	4127675.048082945	1	0.8846019330943602	0.11539806690563975	0.960952395024035	0.03904760497596513
25049.9	0.0023611066666666667	0.958833141943028	0.041166858056972046	1147.5136111430822	4086989.9980650833	1	0.8762269933059912	0.12377300669400876	0.958833141943028	0.041166858056972046
25049.9	0.0023611066666666667	0.9566965673431326	0.04330343265686755	1136.3429466728255	4047361.337089	1	0.8676107664355793	0.13238923356442064	0.9566965673431326	0.04330343265686755
25049.9	0.0023611066666666667	0.9545424579891726	0.04545754201082755	1125.4566470131463	4008734.9327027607	1	0.858756593941765	0.14124340605823502	0.9545424579891726	0.04545754201082755
25049.9	0.0023611066666666667	0.952370597131531	0.04762940286846885	1114.8405734690252	3971060.5672509563	1	0.8496683051509982	0.15033169484900177	0.952370597131531	0.04762940286846885
25049.9	0.0023611066666666667	0.9501807644334471	0.04981923556655289	1104.482264494497	3934293.982958351	1	0.8403504366164318	0.1596495633835682	0.9501807644334471	0.04981923556655289
25049.9	0.0023611066666666667	0.9479727358964982	0.052027264103501905	1094.368495695304	3898388.1669076416	1	0.8308075162785491	0.16919248372145093	0.9479727358964982	0.052027264103501905
25049.9	0.0023611066666666667	0.9457462837842199	0.05425371621578004	1084.489553547654	3863308.6243991996	1	0.8210454487345945	0.17895455126540552	0.9457462837842199	0.05425371621578004
25049.9	0.00230652	0.9651397724218261	0.034860227578173995	1182.767478888702	4312854.837430677	1	0.9005943538456075	0.09940564615439255	0.9651397724218261	0.034860227578173995
25049.9	0.00230652	0.9630545363778307	0.036945463622169265	1170.6487523286976	4268858.008700173	1	0.892708325401538	0.10729167459846206	0.9630545363778307	0.036945463622169265
