U	v	Z1	Z2	T	P	vf	c
25049.9	0.00157086	0.8777184446242222	0.12228155537577774	881.2928069043227	4745504.906035141	1	497.94848269724855
25049.9	0.00157086	0.8541156007528602	0.14588439924713964	836.7899561305877	4501972.80309431	1	473.40394807214636
25049.9	0.00157086	0.828592811754167	0.17140718824583281	797.0201257314669	4282014.292711195	1	450.4898861364157
25049.9	0.00157086	0.80090588227576	0.19909411772424004	761.144804663358	4080794.1004013894	1	428.85561337042054
25049.9	0.00157086	0.7707673716701998	0.22923262832980015	728.5156296337293	3894400.902692283	1	408.21450784269166
25049.9	0.00157086	0.7378365774808192	0.262163422519181	698.6244356471572	3719554.7908517993	1	388.322433612777
25049.9	0.00157086	0.7017065996537443	0.2982934003462557	671.0670557972821	3553378.260049663	1	368.96135031858574
25049.9	0.00157086	0.6618874421862697	0.3381125578137303	645.5182893602657	3393213.6183252977	1	349.9259892177696
25049.9	0.00157086	0.6177836598810238	0.38221634011897615	621.7153460808488	3236467.2458023564	1	331.01180860876866
25049.9	0.00157086	0.5686643790418372	0.4313356209581629	599.4425385318038	3080431.3369460786	1	312.000851808098
25049.9	0.0014309492222222223	0.8777184446242222	0.12228155537577774	881.504000893037	5219865.176238489	1	498.9804755538269
25049.9	0.0014309492222222223	0.8541156007528602	0.14588439924713964	837.0318319972863	4951923.654972841	1	474.39489667966205
25049.9	0.0014309492222222223	0.828592811754167	0.17140718824583281	797.2948304180056	4709736.819044781	1	451.4285741127666
25049.9	0.0014309492222222223	0.80090588227576	0.19909411772424004	761.4542628765914	4487958.371076763	1	429.7283500170129
25049.9	0.0014309492222222223	0.7707673716701998	0.22923262832980015	728.8627067371333	4282256.399998588	1	409.00497961572125
25049.9	0.0014309492222222223	0.7378365774808192	0.262163422519181	699.0125919336786	4088980.724484632	1	389.01097360562414
25049.9	0.0014309492222222223	0.7017065996537443	0.2982934003462557	671.5004125776811	3904910.9107381087	1	369.524099062395
25049.9	0.0014309492222222223	0.6618874421862697	0.3381125578137303	646.0019683457322	3727053.5349324485	1	350.3338186526663
25049.9	0.0014309492222222223	0.6177836598810238	0.38221634011897615	622.2546982383572	3552458.815325111	1	331.2284384858974
25049.9	0.0014309492222222223	0.5686643790418372	0.4313356209581629	600.0445004368837	3378030.905502236	1	311.9808503211815
25049.9	0.0012910384444444446	0.8777184446242222	0.12228155537577774	881.7595944781916	5799636.383915331	1	500.2460970876865
25049.9	0.0012910384444444446	0.8541156007528602	0.14588439924713964	837.3245228089994	5501870.572653702	1	475.61284582673176
25049.9	0.0012910384444444446	0.828592811754167	0.17140718824583281	797.626728734563	5232485.628752126	1	452.58571171351275
25049.9	0.0012910384444444446	0.80090588227576	0.19909411772424004	761.8284480561902	4985514.035191944	1	430.8090245023645
25049.9	0.0012910384444444446	0.7707673716701998	0.22923262832980015	729.2822296334526	4756096.86767923	1	409.99020850184854
25049.9	0.0012910384444444446	0.7378365774808192	0.262163422519181	699.4815737897618	4540126.269717143	1	389.8780340214824
25049.9	0.0012910384444444446	0.7017065996537443	0.2982934003462557	672.0237600581767	4333952.821794336	1	370.2454695503626
25049.9	0.0012910384444444446	0.6618874421862697	0.3381125578137303	646.5854800189327	4134158.3657460054	1	350.87586489572675
25049.9	0.0012910384444444446	0.6177836598810238	0.38221634011897615	622.9052998666053	3937346.818573513	1	331.54958584022614
25049.9	0.0012910384444444446	0.5686643790418372	0.4313356209581629	600.77016714283	3739922.242362107	1	312.0287817121103
25049.9	0.0011511276666666668	0.8777184446242222	0.12228155537577774	882.0752702158949	6524365.586135157	1	501.8345581713642
25049.9	0.0011511276666666668	0.8541156007528602	0.14588439924713964	837.685938464905	6189343.702932911	1	477.14544418669095
25049.9	0.0011511276666666668	0.828592811754167	0.17140718824583281	798.0367802627171	5885933.605159637	1	454.04715720015537
25049.9	0.0011511276666666668	0.80090588227576	0.19909411772424004	762.2897369131334	5607375.000467652	1	432.1806994158544
25049.9	0.0011511276666666668	0.7707673716701998	0.22923262832980015	729.79955252657	5348158.256490486	1	411.25027277024924
25049.9	0.0011511276666666668	0.7378365774808192	0.262163422519181	700.0595905085898	5103582.385510696	1	390.9999356616532
25049.9	0.0011511276666666668	0.7017065996537443	0.2982934003462557	672.6686762362988	4869452.620696244	1	371.1973178220227
25049.9	0.0011511276666666668	0.6618874421862697	0.3381125578137303	647.3037794015579	4641795.882282143	1	351.6185067680755
25049.9	0.0011511276666666668	0.6177836598810238	0.38221634011897615	623.7055674222611	4416641.782948532	1	332.0349751958213
25049.9	0.0011511276666666668	0.5686643790418372	0.4313356209581629	601.6620559640111	4189738.7580799037	1	312.196443235888
25049.9	0.0010112168888888888	0.8777184446242222	0.12228155537577774	882.4746568738212	7456218.535925815	1	503.8868293382581
25049.9	0.0010112168888888888	0.8541156007528602	0.14588439924713964	838.1435302866641	7073358.329760921	1	479.13185242864813
25049.9	0.0010112168888888888	0.828592811754167	0.17140718824583281	798.5552652337451	6726173.747633057	1	455.9493981303151
25049.9	0.0010112168888888888	0.80090588227576	0.19909411772424004	762.8735472716266	6406893.628725559	1	433.977165068034
25049.9	0.0010112168888888888	0.7707673716701998	0.22923262832980015	730.4534381816095	6109142.2768306695	1	412.9149654282531
25049.9	0.0010112168888888888	0.7378365774808192	0.262163422519181	700.7900112975735	5827455.424553954	1	392.501940767145
25049.9	0.0010112168888888888	0.7017065996537443	0.2982934003462557	673.482402903904	5556904.31851095	1	372.49911985830244
25049.9	0.0010112168888888888	0.6618874421862697	0.3381125578137303	648.2099983000128	5292794.30686575	1	352.67486273462407
25049.9	0.0010112168888888888	0.6177836598810238	0.38221634011897615	624.7140408560205	5030368.089212731	1	332.7898448866665
25049.9	0.0010112168888888888	0.5686643790418372	0.4313356209581629	602.784878018354	4764499.164107991	1	312.57980901358286
25049.9	0.0008713061111111112	0.8777184446242222	0.12228155537577774	882.9974859126222	8698881.14589097	1	506.6400892222365
25049.9	0.0008713061111111112	0.8541156007528602	0.14588439924713964	838.7420189816581	8252379.513157714	1	481.80695981777336
25049.9	0.0008713061111111112	0.828592811754167	0.17140718824583281	799.2329144066447	7846838.192256217	1	458.52462359301984
25049.9	0.0008713061111111112	0.80090588227576	0.19909411772424004	763.635555632496	7473124.069300864	1	436.4268015936097
25049.9	0.0008713061111111112	0.7707673716701998	0.22923262832980015	731.306288431011	7123697.473425621	1	415.20846345343665
25049.9	0.0008713061111111112	0.7378365774808192	0.262163422519181	701.7415377240143	6792047.567002798	1	394.60289558977695
25049.9	0.0008713061111111112	0.7017065996537443	0.2982934003462557	674.5419109355082	6472246.949128028	1	374.36388753873825
25049.9	0.0008713061111111112	0.6618874421862697	0.3381125578137303	649.3884360005209	6158590.260883166	1	354.2506404568846
25049.9	0.0008713061111111112	0.6177836598810238	0.38221634011897615	626.0243250505744	5845235.237642066	1	334.01194164136945
25049.9	0.0008713061111111112	0.5686643790418372	0.4313356209581629	604.2419154571957	5525821.788165182	1	313.36741616016815
25049.9	0.0007313953333333333	0.8777184446242222	0.12228155537577774	883.7105594647895	10439159.130392056	1	510.5246290355711
25049.9	0.0007313953333333333	0.8541156007528602	0.14588439924713964	839.5571910613729	9903927.62661525	1	485.5993740276153
25049.9	0.0007313953333333333	0.828592811754167	0.17140718824583281	800.1556433291635	9416836.540838543	1	462.19942445773285
25049.9	0.0007313953333333333	0.80090588227576	0.19909411772424004	764.6722524992067	8966817.102025015	1	439.9535757785901
25049.9	0.0007313953333333333	0.7707673716701998	0.22923262832980015	732.4654526546694	8544681.477623384	1	418.5514320899923
25049.9	0.0007313953333333333	0.7378365774808192	0.262163422519181	703.0334380147422	8142420.988072675	1	397.71974072296007
25049.9	0.0007313953333333333	0.7017065996537443	0.2982934003462557	675.9787255577043	7752667.314561338	1	377.20429636179296
25049.9	0.0007313953333333333	0.6618874421862697	0.3381125578137303	650.9844584566572	7368245.660749555	1	356.7542812055892
25049.9	0.0007313953333333333	0.6177836598810238	0.38221634011897615	627.7963377179444	6981726.6362304315	1	336.1055715114119
25049.9	0.0007313953333333333	0.5686643790418372	0.4313356209581629	606.209297684266	6584938.551039145	1	314.9603748016181
25049.9	0.0005914845555555555	0.8777184446242222	0.12228155537577774	884.7411125516523	13051312.03661269	1	516.4109755639455
25049.9	0.0005914845555555555	0.8541156007528602	0.14588439924713964	840.7341335002986	12384076.644185822	1	491.3823886333254
25049.9	0.0005914845555555555	0.828592811754167	0.17140718824583281	801.485873154846	11775327.821312644	1	467.8498137198995
25049.9	0.0005914845555555555	0.80090588227576	0.19909411772424004	766.165049159343	11211089.360048244	1	445.43694289163125
25049.9	0.0005914845555555555	0.7707673716701998	0.22923262832980015	734.1327473291606	10679669.772904212	1	423.8277428359629
25049.9	0.0005914845555555555	0.7378365774808192	0.262163422519181	704.8889458549617	10170758.639369523	1	402.74212918843307
25049.9	0.0005914845555555555	0.7017065996537443	0.2982934003462557	678.0390705281123	9674771.744434595	1	381.91812709330696
25049.9	0.0005914845555555555	0.6618874421862697	0.3381125578137303	653.269333230064	9182258.563852519	1	361.09541948679333
25049.9	0.0005914845555555555	0.6177836598810238	0.38221634011897615	630.3279646206071	8683303.192144329	1	339.9976084541205
25049.9	0.0005914845555555555	0.5686643790418372	0.4313356209581629	609.0140799383122	8166915.80677519	1	318.31131476684646
25049.9	0.00045157377777777776	0.8777184446242222	0.12228155537577774	886.3628728294959	17411406.74315416	1	526.3592420439276
25049.9	0.00045157377777777776	0.8541156007528602	0.14588439924713964	842.5838903279532	16528062.572446227	1	501.24013418710007
25049.9	0.00045157377777777776	0.828592811754167	0.17140718824583281	803.5730383758711	15719607.628745828	1	477.58861425187706
25049.9	0.00045157377777777776	0.80090588227576	0.19909411772424004	768.5030272083189	14967242.196666405	1	455.02427183712155
25049.9	0.00045157377777777776	0.7707673716701998	0.22923262832980015	736.7384026331672	14255084.248197194	1	433.22694311385845
25049.9	0.00045157377777777776	0.7378365774808192	0.262163422519181	707.7826485346164	13568968.945710957	1	411.91244008332137
25049.9	0.00045157377777777776	0.7017065996537443	0.2982934003462557	681.2451286821574	12895570.18183367	1	390.81484547175523
25049.9	0.00045157377777777776	0.6618874421862697	0.3381125578137303	656.8152407938258	12221561.011312243	1	369.66969720179134
25049.9	0.00045157377777777776	0.6177836598810238	0.38221634011897615	634.246477662224	11532848.116156805	1	348.1973964618199
25049.9	0.00045157377777777776	0.5686643790418372	0.4313356209581629	613.3424387429072	10813653.769382022	1	326.0816367657084
25049.9	0.000311663	0.8777184446242222	0.12228155537577774	889.2941373124733	26165667.855901405	1	546.6652335145571
25049.9	0.000311663	0.8541156007528602	0.14588439924713964	845.918445304739	24869853.581721436	1	521.6140978684014
25049.9	0.000311663	0.828592811754167	0.17140718824583281	807.3258455136504	23680116.124954253	1	498.0330080178238
25049.9	0.000311663	0.80090588227576	0.19909411772424004	772.6953638723212	22568327.801503297	1	475.5449279908508
25049.9	0.000311663	0.7707673716701998	0.22923262832980015	741.3965267877779	21510503.886030138	1	453.83606532251133
